"Sr.","Stock Name","Symbol","Links","% Chg","Price","Volume"
"173","Steel Authority Of India Limited","SAIL","P&F | F.A","8.14%","164.65","176,471,110"
"62","United Breweries Limited","UBL","P&F | F.A","9.18%","2030.95","2,492,686"
"145","Chambal Fertilizers & Chemicals Limited","CHAMBLFERT","P&F | F.A","5.73%","402.2","14,989,439"
"162","Nmdc Limited","NMDC","P&F | F.A","5.73%","248.1","32,168,850"
"11","Dixon Technologies","DIXON","P&F | F.A","4.88%","8145.75","610,844"
"51","Acc Limited","ACC","P&F | F.A","4.23%","2556.4","885,615"
"30","Hindustan Aeronautics Ltd","HAL","P&F | F.A","3.98%","3946.7","4,429,158"
"120","Hindalco Industries Limited","HINDALCO","P&F | F.A","3.97%","636.1","11,775,700"
"166","Gail (india) Limited","GAIL","P&F | F.A","3.88%","207.4","31,299,709"
"84","Cipla Limited","CIPLA","P&F | F.A","3.82%","1398.2","4,415,480"
"108","Jsw Steel Limited","JSWSTEEL","P&F | F.A","3.68%","882.7","4,257,777"
"58","Dr. Lal Path Labs Ltd.","LALPATHLAB","P&F | F.A","3.53%","2328.85","541,153"
"99","Glenmark Pharmaceuticals Limited","GLENMARK","P&F | F.A","3.52%","1070.95","657,386"
"155","Biocon Limited","BIOCON","P&F | F.A","3.37%","289.6","24,783,743"
"105","Jindal Steel & Power Limited","JINDALSTEL","P&F | F.A","2.93%","936.5","3,633,914"
"90","Godrej Consumer Products Limited","GODREJCP","P&F | F.A","2.92%","1212.8","1,017,249"
"172","Tata Steel Limited","TATASTEEL","P&F | F.A","2.73%","165.55","59,894,921"
"42","Cummins India Limited","CUMMINSIND","P&F | F.A","2.7%","3244.3","663,114"
"104","Container Corporation Of India Limited","CONCOR","P&F | F.A","2.6%","973.05","2,166,281"
"168","National Aluminium Company Limited","NATIONALUM","P&F | F.A","2.54%","188","22,418,521"
"115","Gujarat Narmada Valley Fertilizers And Chemicals Limited","GNFC","P&F | F.A","2.51%","711","1,836,874"
"147","Balrampur Chini Mills Limited","BALRAMCHIN","P&F | F.A","2.37%","388.05","2,055,303"
"109","Piramal Enterprises Limited","PEL","P&F | F.A","2.28%","879.05","1,737,883"
"93","Cholamandalam Investment And Finance Company Limited","CHOLAFIN","P&F | F.A","2.23%","1168.8","929,932"
"47","Colgate Palmolive (india) Limited","COLPAL","P&F | F.A","2.15%","2748","375,720"
"149","Hindustan Copper Limited","HINDCOPPER","P&F | F.A","2.04%","379.65","11,213,081"
"48","Torrent Pharmaceuticals Limited","TORNTPHARM","P&F | F.A","1.86%","2686.45","254,563"
"154","Power Grid Corporation Of India Limited","POWERGRID","P&F | F.A","1.77%","290.4","19,324,184"
"20","Polycab India Ltd","POLYCAB","P&F | F.A","1.76%","5593.8","305,918"
"86","Ipca Laboratories Limited","IPCALAB","P&F | F.A","1.76%","1347.25","564,701"
"34","Pi Industries Limited","PIIND","P&F | F.A","1.72%","3754.85","131,701"
"148","Vedanta Limited","VEDL","P&F | F.A","1.7%","383.45","11,074,253"
"170","Ashok Leyland Limited","ASHOKLEY","P&F | F.A","1.69%","177.6","13,300,471"
"66","Kotak Mahindra Bank Limited","KOTAKBANK","P&F | F.A","1.64%","1842.8","3,295,077"
"70","Muthoot Finance Limited","MUTHOOTFIN","P&F | F.A","1.57%","1642.9","541,443"
"122","AU Small Finance Bank","AUBANK","P&F | F.A","1.55%","618.95","5,324,514"
