Symbol,Latest Expiry,CMP,52 week LOW,52 week HIGH,Trend
NIFTY,20-06-2024,23562.3,18646.7,23579.05,SIDEWAYS
BANKNIFTY,19-06-2024,50479.3,42105.4,51133.2,BULLISH
FINNIFTY,18-06-2024,22595.9,18870.15,22660.05,SIDEWAYS
BAJAJ-AUTO,27-06-2024,9920.0,4397.68,10038.8,NA
BRITANNIA,27-06-2024,5395.85,4347.7,5725.0,NA
COALINDIA,27-06-2024,489.4,207.4,527.4,SIDEWAYS
DRREDDY,27-06-2024,5985.0,4824.32,6505.9,BEARISH
GRASIM,27-06-2024,2457.0,1680.05,2523.7,NA
HCLTECH,27-06-2024,1437.0,1045.34,1674.87,NA
HEROMOTOCO,27-06-2024,5767.1,2699.96,5894.55,BEARISH
HINDALCO,27-06-2024,678.0,404.81,715.25,BEARISH
ICICIBANK,27-06-2024,1122.85,899.0,1173.0,BULLISH
INDUSINDBK,27-06-2024,1507.05,1262.0,1694.5,NA
INFY,27-06-2024,1498.3,1239.14,1723.29,NA
ITC,27-06-2024,428.9,392.39,483.88,NA
NTPC,27-06-2024,369.95,177.36,393.2,NA
ONGC,27-06-2024,275.85,148.29,292.95,NA
POWERGRID,27-06-2024,331.8,168.0,348.7,BULLISH
SBILIFE,27-06-2024,1472.45,1249.41,1566.54,SIDEWAYS
TCS,27-06-2024,3815.1,3119.37,4224.05,SIDEWAYS
TATASTEEL,27-06-2024,181.3,108.1,184.6,BEARISH
TECHM,27-06-2024,1371.35,1035.46,1416.3,SIDEWAYS
WIPRO,27-06-2024,491.55,374.25,545.9,BULLISH
