table1,exp1,table2,exp2,table3,exp3,timestamp
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 13:55:22.683506
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:26:01.072345
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:27:13.864196
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:28:20.149955
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:28:24.819487
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:28:29.971466
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:29:45.529709
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:30:33.174623
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:43:26.141768
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:48:05.516595
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:48:11.446042
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 15:48:15.921051
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 16:04:58.580980
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 16:05:54.675918
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 16:05:59.343514
RELIANCE,27-06-2024,VEDL,27-06-2024,INFY,27-06-2024,2024-06-05 16:06:04.504437
