stock_symbols,stk_symbol_yf,index_symbols,idx_symbol_yfin
AARTIIND,AARTIIND.NS,BANKNIFTY,^nsebank
ABB,ABB.NS,FINNIFTY,nifty_fin_service.ns
ABBOTINDIA,ABBOTINDIA.NS,NIFTY,^nsei
ABCAPITAL,ABCAPITAL.NS,,
ABFRL,ABFRL.NS,,
ACC,ACC.NS,,
ADANIENT,ADANIENT.NS,,
ADANIPORTS,ADANIPORTS.NS,,
ALKEM,ALKEM.NS,,
AMBUJACEM,AMBUJACEM.NS,,
APOLLOHOSP,APOLLOHOSP.NS,,
APOLLOTYRE,APOLLOTYRE.NS,,
ASHOKLEY,ASHOKLEY.NS,,
ASIANPAINT,ASIANPAINT.NS,,
ASTRAL,ASTRAL.NS,,
ATUL,ATUL.NS,,
AUBANK,AUBANK.NS,,
AUROPHARMA,AUROPHARMA.NS,,
AXISBANK,AXISBANK.NS,,
BAJAJ-AUTO,BAJAJ-AUTO.NS,,
BAJAJFINSV,BAJAJFINSV.NS,,
BAJFINANCE,BAJFINANCE.NS,,
BALKRISIND,BALKRISIND.NS,,
BALRAMCHIN,BALRAMCHIN.NS,,
BANDHANBNK,BANDHANBNK.NS,,
BANKBARODA,BANKBARODA.NS,,
BATAINDIA,BATAINDIA.NS,,
BEL,BEL.NS,,
BERGEPAINT,BERGEPAINT.NS,,
BHARATFORG,BHARATFORG.NS,,
BHARTIARTL,BHARTIARTL.NS,,
BHEL,BHEL.NS,,
BIOCON,BIOCON.NS,,
BOSCHLTD,BOSCHLTD.NS,,
BPCL,BPCL.NS,,
BRITANNIA,BRITANNIA.NS,,
BSOFT,BSOFT.NS,,
CANBK,CANBK.NS,,
CANFINHOME,CANFINHOME.NS,,
CHAMBLFERT,CHAMBLFERT.NS,,
CHOLAFIN,CHOLAFIN.NS,,
CIPLA,CIPLA.NS,,
COALINDIA,COALINDIA.NS,,
COFORGE,COFORGE.NS,,
COLPAL,COLPAL.NS,,
CONCOR,CONCOR.NS,,
COROMANDEL,COROMANDEL.NS,,
CROMPTON,CROMPTON.NS,,
CUB,CUB.NS,,
CUMMINSIND,CUMMINSIND.NS,,
DABUR,DABUR.NS,,
DALBHARAT,DALBHARAT.NS,,
DEEPAKNTR,DEEPAKNTR.NS,,
DIVISLAB,DIVISLAB.NS,,
DIXON,DIXON.NS,,
DLF,DLF.NS,,
DRREDDY,DRREDDY.NS,,
EICHERMOT,EICHERMOT.NS,,
ESCORTS,ESCORTS.NS,,
EXIDEIND,EXIDEIND.NS,,
FEDERALBNK,FEDERALBNK.NS,,
GAIL,GAIL.NS,,
GLENMARK,GLENMARK.NS,,
GMRINFRA,GMRINFRA.NS,,
GNFC,GNFC.NS,,
GODREJCP,GODREJCP.NS,,
GODREJPROP,GODREJPROP.NS,,
GRANULES,GRANULES.NS,,
GRASIM,GRASIM.NS,,
GUJGASLTD,GUJGASLTD.NS,,
HAL,HAL.NS,,
HAVELLS,HAVELLS.NS,,
HCLTECH,HCLTECH.NS,,
HDFCAMC,HDFCAMC.NS,,
HDFCBANK,HDFCBANK.NS,,
HDFCLIFE,HDFCLIFE.NS,,
HEROMOTOCO,HEROMOTOCO.NS,,
HINDALCO,HINDALCO.NS,,
HINDCOPPER,HINDCOPPER.NS,,
HINDPETRO,HINDPETRO.NS,,
HINDUNILVR,HINDUNILVR.NS,,
ICICIBANK,ICICIBANK.NS,,
ICICIGI,ICICIGI.NS,,
ICICIPRULI,ICICIPRULI.NS,,
IDEA,IDEA.NS,,
IDFC,IDFC.NS,,
IDFCFIRSTB,IDFCFIRSTB.NS,,
IEX,IEX.NS,,
IGL,IGL.NS,,
INDHOTEL,INDHOTEL.NS,,
INDIACEM,INDIACEM.NS,,
INDIAMART,INDIAMART.NS,,
INDIGO,INDIGO.NS,,
INDUSINDBK,INDUSINDBK.NS,,
INDUSTOWER,INDUSTOWER.NS,,
INFY,INFY.NS,,
IOC,IOC.NS,,
IPCALAB,IPCALAB.NS,,
IRCTC,IRCTC.NS,,
ITC,ITC.NS,,
JINDALSTEL,JINDALSTEL.NS,,
JKCEMENT,JKCEMENT.NS,,
JSWSTEEL,JSWSTEEL.NS,,
JUBLFOOD,JUBLFOOD.NS,,
KOTAKBANK,KOTAKBANK.NS,,
LALPATHLAB,LALPATHLAB.NS,,
LAURUSLABS,LAURUSLABS.NS,,
LICHSGFIN,LICHSGFIN.NS,,
LT,LT.NS,,
LTF,LTF.NS,,
LTIM,LTIM.NS,,
LTTS,LTTS.NS,,
LUPIN,LUPIN.NS,,
M&M,M&M.NS,,
M&MFIN,M&MFIN.NS,,
MANAPPURAM,MANAPPURAM.NS,,
MARICO,MARICO.NS,,
MARUTI,MARUTI.NS,,
MCX,MCX.NS,,
METROPOLIS,METROPOLIS.NS,,
MFSL,MFSL.NS,,
MGL,MGL.NS,,
MOTHERSON,MOTHERSON.NS,,
MPHASIS,MPHASIS.NS,,
MRF,MRF.NS,,
MUTHOOTFIN,MUTHOOTFIN.NS,,
NATIONALUM,NATIONALUM.NS,,
NAUKRI,NAUKRI.NS,,
NAVINFLUOR,NAVINFLUOR.NS,,
NESTLEIND,NESTLEIND.NS,,
NMDC,NMDC.NS,,
NTPC,NTPC.NS,,
OBEROIRLTY,OBEROIRLTY.NS,,
OFSS,OFSS.NS,,
ONGC,ONGC.NS,,
PAGEIND,PAGEIND.NS,,
PEL,PEL.NS,,
PERSISTENT,PERSISTENT.NS,,
PETRONET,PETRONET.NS,,
PFC,PFC.NS,,
PIDILITIND,PIDILITIND.NS,,
PIIND,PIIND.NS,,
PNB,PNB.NS,,
POLYCAB,POLYCAB.NS,,
POWERGRID,POWERGRID.NS,,
PVRINOX,PVRINOX.NS,,
RAMCOCEM,RAMCOCEM.NS,,
RBLBANK,RBLBANK.NS,,
RECLTD,RECLTD.NS,,
RELIANCE,RELIANCE.NS,,
SAIL,SAIL.NS,,
SBICARD,SBICARD.NS,,
SBILIFE,SBILIFE.NS,,
SBIN,SBIN.NS,,
SHREECEM,SHREECEM.NS,,
SHRIRAMFIN,SHRIRAMFIN.NS,,
SIEMENS,SIEMENS.NS,,
SRF,SRF.NS,,
SUNPHARMA,SUNPHARMA.NS,,
SUNTV,SUNTV.NS,,
SYNGENE,SYNGENE.NS,,
TATACHEM,TATACHEM.NS,,
TATACOMM,TATACOMM.NS,,
TATACONSUM,TATACONSUM.NS,,
TATAMOTORS,TATAMOTORS.NS,,
TATAPOWER,TATAPOWER.NS,,
TATASTEEL,TATASTEEL.NS,,
TCS,TCS.NS,,
TECHM,TECHM.NS,,
TITAN,TITAN.NS,,
TORNTPHARM,TORNTPHARM.NS,,
TRENT,TRENT.NS,,
TVSMOTOR,TVSMOTOR.NS,,
UBL,UBL.NS,,
ULTRACEMCO,ULTRACEMCO.NS,,
UPL,UPL.NS,,
VEDL,VEDL.NS,,
VOLTAS,VOLTAS.NS,,
WIPRO,WIPRO.NS,,
NIFTY,^nsei,,
BANKNIFTY,^nsebank,,
FINNIFTY,nifty_fin_service.ns,,
